time (ms),CO2 (ppm),200ms delay
170641.00,509.22,
170852.00,541.09,
171063.00,536.88,
171274.00,495.78,
171485.00,533.59,
171698.00,535.47,
171909.00,492.5,
172120.00,509.84,
172331.00,524.06,
172541.00,497.03,
172752.00,499.69,
172963.00,513.75,
173174.00,506.25,
173385.00,494.53,
173598.00,502.81,
173809.00,512.66,
174020.00,497.03,
174231.00,472.81,
174442.00,517.03,
174653.00,527.97,
174864.00,503.28,
175075.00,542.5,
175286.00,540,
175497.00,506.25,
175710.00,535.78,
175921.00,544.38,
176132.00,504.22,
176343.00,528.59,
176553.00,546.25,
176764.00,536.41,
176975.00,525.47,
177186.00,540.78,
177397.00,540.78,
177610.00,522.5,
177821.00,518.59,
178032.00,544.06,
178243.00,526.88,
178454.00,512.5,
178665.00,541.41,
178876.00,537.97,
179087.00,502.81,
179298.00,529.69,
179509.00,542.19,
179722.00,509.22,
179933.00,521.88,
180144.00,540.16,
180355.00,529.84,
180566.00,520.47,
180776.00,535,
180987.00,535.94,
181198.00,515.47,
181409.00,515.16,
181622.00,536.72,
181833.00,518.44,
182044.00,499.53,
182255.00,535.78,
182466.00,530.47,
182677.00,502.03,
182888.00,529.69,
183099.00,533.59,
183310.00,498.59,
183523.00,520.31,
183734.00,534.38,
183945.00,520,
184156.00,521.09,
184367.00,534.38,
184578.00,530.63,
184788.00,519.69,
184999.00,510.94,
185210.00,533.44,
185421.00,519.06,
185634.00,499.53,
185845.00,539.22,
186056.00,531.72,
186267.00,509.38,
186478.00,539.22,
186689.00,540.63,
186900.00,502.5,
187111.00,526.25,
187322.00,541.41,
187533.00,522.97,
187746.00,521.88,
187957.00,540.47,
188168.00,535.78,
188379.00,522.5,
188590.00,534.53,
188801.00,539.22,
189011.00,517.5,
189222.00,511.41,
189433.00,540.63,
189646.00,533.13,
189857.00,507.81,
190068.00,540.47,
190279.00,536.25,
190490.00,501.25,
190701.00,526.88,
190912.00,536.09,
191123.00,501.09,
191334.00,520.63,
191547.00,539.69,
191758.00,532.5,
191969.00,518.44,
192180.00,528.44,
192391.00,535.63,
192602.00,516.41,
192813.00,511.09,
193024.00,533.44,
193234.00,520.63,
193445.00,502.34,
193658.00,530.94,
193869.00,523.75,
194080.00,491.56,
194291.00,526.88,
194502.00,532.5,
194713.00,498.13,
194924.00,518.91,
195135.00,532.66,
195346.00,522.81,
195559.00,523.75,
195770.00,536.72,
195981.00,532.81,
196192.00,525,
196403.00,520.47,
196614.00,539.22,
196825.00,521.72,
197036.00,509.53,
197246.00,542.97,
197459.00,531.56,
197670.00,514.22,
197881.00,543.28,
198092.00,542.66,
198303.00,512.19,
198514.00,532.03,
198725.00,543.13,
198936.00,528.59,
199147.00,525.31,
199360.00,540.94,
199571.00,535.78,
199782.00,521.88,
199993.00,522.5,
200204.00,535.63,
200415.00,516.56,
200626.00,510.78,
200837.00,537.97,
201048.00,521.41,
201259.00,504.53,
201472.00,538.59,
201682.00,533.28,
201893.00,499.22,
202104.00,529.53,
202315.00,539.84,
202526.00,524.69,
202737.00,523.59,
202948.00,540.31,
203159.00,534.38,
203372.00,523.13,
203583.00,534.69,
203794.00,539.84,
204005.00,524.38,
204216.00,519.69,
204427.00,538.28,
204638.00,509.84,
204849.00,523.75,
205060.00,542.03,
205273.00,534.84,
205484.00,509.84,
205694.00,536.88,
205905.00,542.03,
206116.00,520.63,
206327.00,530.16,
206538.00,545,
206749.00,532.66,
206960.00,532.81,
207171.00,545.94,
207384.00,541.41,
207595.00,525.16,
207806.00,524.06,
208017.00,544.53,
208228.00,508.13,
208439.00,513.13,
208650.00,548.75,
208861.00,535.63,
209072.00,512.34,
209285.00,545.63,
209496.00,545.16,
209707.00,530.94,
209917.00,531.09,
210128.00,544.38,
210339.00,527.5,
210550.00,527.34,
210761.00,542.81,
210972.00,530.94,
211183.00,507.03,
211396.00,528.44,
211607.00,532.66,
211818.00,495.31,
212029.00,510,
212240.00,537.03,
212451.00,520.78,
212662.00,507.19,
212873.00,540.78,
213084.00,536.41,
213297.00,519.69,
213508.00,511.72,
213719.00,523.91,
213929.00,507.66,
214140.00,512.03,
214351.00,526.41,
214562.00,516.72,
214773.00,498.75,
214984.00,523.28,
215195.00,520.47,
215408.00,496.25,
215619.00,492.81,
215830.00,542.97,
216041.00,517.34,
216252.00,500.94,
216463.00,544.22,
216674.00,532.03,
216885.00,529.38,
217096.00,538.59,
217309.00,544.38,
217520.00,523.13,
217731.00,527.81,
217942.00,542.5,
218152.00,529.84,
218363.00,506.88,
218574.00,541.25,
218785.00,533.75,
218996.00,504.69,
219209.00,514.06,
219420.00,540,
219631.00,514.84,
219842.00,510.31,
220053.00,541.56,
220264.00,528.75,
220475.00,521.56,
220686.00,538.28,
220897.00,539.53,
221108.00,525.47,
221321.00,529.06,
221532.00,541.09,
221743.00,531.09,
221954.00,501.56,
222164.00,540.78,
222375.00,534.53,
222586.00,495.47,
222797.00,519.53,
223008.00,537.66,
223221.00,494.38,
223432.00,507.34,
223643.00,543.91,
223854.00,531.72,
224065.00,526.56,
224276.00,539.22,
224487.00,539.84,
224698.00,524.22,
224909.00,526.72,
225120.00,542.34,
225333.00,526.41,
225544.00,509.22,
225755.00,544.53,
225966.00,538.91,
226177.00,512.81,
226387.00,527.34,
226598.00,545.94,
226809.00,512.66,
227020.00,507.03,
227233.00,546.72,
227444.00,533.59,
227655.00,526.88,
227866.00,542.5,
228077.00,541.56,
228288.00,521.41,
228499.00,529.53,
228710.00,540.31,
228921.00,528.13,
229134.00,503.91,
229345.00,540,
229556.00,532.81,
229767.00,497.03,
229978.00,522.19,
230189.00,537.19,
230400.00,496.25,
230610.00,507.97,
230821.00,540,
231032.00,528.91,
231245.00,524.84,
231456.00,538.91,
231667.00,538.13,
231878.00,529.06,
232089.00,526.56,
232300.00,540.94,
232511.00,527.81,
232722.00,504.06,
232933.00,541.72,
233146.00,535.63,
233357.00,510.63,
233568.00,529.69,
233779.00,542.34,
233990.00,516.25,
234201.00,504.53,
234412.00,547.5,
234622.00,531.41,
234833.00,531.41,
235046.00,547.03,
235257.00,547.97,
235468.00,530.78,
235679.00,541.56,
235890.00,551.41,
236101.00,538.28,
236312.00,501.41,
236523.00,551.41,
236734.00,544.06,
236947.00,503.13,
237158.00,536.25,
237369.00,542.19,
237580.00,507.66,
237791.00,519.84,
238002.00,544.69,
238213.00,530,
238424.00,519.38,
238635.00,541.72,
238848.00,544.06,
239058.00,526.41,
239269.00,528.75,
239480.00,542.34,
239691.00,531.72,
239902.00,505.78,
240113.00,545,
240324.00,540.78,
240535.00,510.31,
240748.00,529.38,
240959.00,542.66,
241170.00,512.03,
241381.00,509.38,
241592.00,543.44,
241803.00,530.47,
242014.00,532.19,
242225.00,543.13,
242436.00,545,
242649.00,511.41,
242860.00,504.53,
243070.00,511.56,
243281.00,499.38,
243492.00,477.5,
243703.00,512.5,
243914.00,506.88,
244125.00,476.88,
244336.00,490.63,
244549.00,510.78,
244760.00,475.94,
244971.00,493.75,
245182.00,546.56,
245393.00,535,
245604.00,530.94,
245815.00,542.97,
246026.00,543.59,
246237.00,527.66,
246448.00,531.56,
246661.00,547.66,
246872.00,532.34,
247083.00,503.44,
247293.00,544.06,
247504.00,537.66,
247715.00,512.03,
247926.00,522.81,
248137.00,543.59,
248348.00,504.06,
248561.00,509.06,
248772.00,544.22,
248983.00,534.22,
249194.00,528.28,
249405.00,542.66,
249616.00,541.88,
249827.00,524.84,
250038.00,532.66,
250249.00,544.69,
250460.00,530.47,
250673.00,501.72,
250884.00,544.22,
251095.00,537.19,
251305.00,504.53,
251516.00,532.03,
251727.00,540.47,
251938.00,507.34,
252149.00,505.47,
252360.00,542.03,
252573.00,527.66,
252784.00,525.78,
252995.00,544.53,
253206.00,541.56,
253417.00,522.03,
253628.00,530.94,
253839.00,545.31,
254050.00,529.06,
254261.00,512.97,
254474.00,548.91,
254685.00,544.22,
254896.00,521.56,
255107.00,544.38,
255318.00,547.34,
255528.00,511.09,
255739.00,526.41,
255950.00,548.91,
256161.00,530.31,
256374.00,531.72,
256585.00,545.78,
256796.00,538.59,
257007.00,526.88,
257218.00,538.28,
257429.00,541.56,
257640.00,517.97,
257851.00,512.97,
258062.00,541.88,
258275.00,527.34,
258486.00,513.44,
258697.00,540.94,
258908.00,533.28,
259119.00,503.13,
259330.00,521.72,
259540.00,538.13,
259751.00,501.88,
259962.00,527.5,
260173.00,538.13,
260386.00,515.31,
260597.00,527.97,
260808.00,540.63,
261019.00,537.81,
261230.00,523.13,
261441.00,518.59,
261652.00,541.56,
261863.00,527.34,
262074.00,516.09,
262287.00,545.94,
262498.00,538.59,
262709.00,504.84,
262920.00,544.84,
263131.00,543.91,
263342.00,511.56,
263553.00,534.53,
263763.00,547.81,
263974.00,519.22,
264187.00,534.69,
264398.00,551.25,
264609.00,540,
264820.00,536.72,
265031.00,545.31,
265242.00,547.03,
265453.00,531.09,
265664.00,529.22,
265875.00,549.22,
266086.00,533.59,
266299.00,522.03,
266510.00,548.44,
266721.00,537.19,
266932.00,509.22,
267143.00,542.66,
267354.00,541.72,
267565.00,517.81,
267776.00,529.22,
267986.00,541.72,
268199.00,521.56,
268410.00,525.63,
268621.00,542.66,
268832.00,534.22,
269043.00,532.66,
269254.00,541.88,
269465.00,545.16,
269676.00,523.59,
269887.00,519.22,
270100.00,543.44,
270311.00,530.16,
270522.00,507.97,
270733.00,544.69,
270944.00,540.94,
271155.00,509.38,
271366.00,537.97,
271577.00,540.94,
271788.00,503.44,
271998.00,535.78,
272211.00,548.91,
272422.00,519.06,
272633.00,532.5,
272844.00,549.38,
273055.00,540.78,
273266.00,525.63,
273477.00,537.66,
273688.00,543.91,
273899.00,528.28,
274112.00,521.41,
274323.00,547.03,
274534.00,529.53,
274745.00,510,
274956.00,545.78,
275167.00,539.53,
275378.00,512.34,
275589.00,536.25,
275800.00,538.59,
276013.00,493.59,
276224.00,519.84,
276434.00,538.75,
276645.00,515.63,
276856.00,519.38,
277067.00,536.88,
277278.00,531.56,
277489.00,521.25,
277700.00,527.81,
277913.00,536.56,
278124.00,524.69,
278335.00,505.78,
278546.00,537.34,
278757.00,529.22,
278968.00,520.16,
279179.00,537.5,
279390.00,531.56,
279601.00,501.41,
279812.00,529.06,
280025.00,534.84,
280236.00,504.22,
280446.00,520.31,
280657.00,537.66,
280868.00,517.66,
281079.00,519.69,
281290.00,539.69,
281501.00,536.88,
281712.00,521.56,
281925.00,516.56,
282136.00,544.06,
282347.00,524.38,
282558.00,502.03,
282769.00,547.03,
282980.00,530.16,
283191.00,511.88,
283402.00,545.63,
283613.00,545.94,
283826.00,509.84,
284037.00,535.94,
284248.00,544.69,
284459.00,522.19,
284669.00,529.22,
284880.00,545.16,
285091.00,538.75,
285302.00,521.56,
285513.00,530.94,
285724.00,539.22,
285937.00,521.41,
286148.00,518.28,
286359.00,535.78,
286570.00,507.97,
286781.00,505.94,
286992.00,535.47,
287203.00,525.78,
287414.00,495.47,
287625.00,534.84,
287838.00,537.81,
288049.00,488.91,
288260.00,523.91,
288471.00,534.84,
288681.00,524.06,
288892.00,522.66,
289103.00,537.66,
289314.00,530.47,
289525.00,517.34,
289738.00,525.78,
289949.00,534.06,
290160.00,482.03,
290371.00,522.97,
290582.00,539.06,
290793.00,517.34,
291004.00,511.88,
291215.00,542.5,
291426.00,538.44,
291637.00,509.84,
291850.00,534.53,
292061.00,542.34,
292272.00,524.69,
292483.00,533.28,
292694.00,542.19,
292904.00,531.41,
293115.00,525,
293326.00,541.72,
293537.00,538.91,
293750.00,500,
293961.00,519.06,
294172.00,543.44,
294383.00,508.75,
294594.00,508.13,
294805.00,544.06,
295016.00,525.94,
295227.00,509.06,
295438.00,541.09,
295649.00,539.22,
295862.00,523.59,
296073.00,526.72,
296284.00,538.75,
296495.00,525,
296706.00,519.22,
296916.00,539.22,
297127.00,532.03,
297338.00,508.28,
297549.00,534.84,
297762.00,535.78,
297973.00,503.75,
298184.00,515.31,
298395.00,536.09,
298606.00,510.78,
298817.00,492.5,
299028.00,536.25,
299239.00,527.34,
299450.00,519.22,
299663.00,535,
299874.00,536.25,
300085.00,519.53,
300296.00,523.28,
300507.00,538.44,
300718.00,526.41,
300929.00,500.94,
301139.00,542.81,
301350.00,540.63,
301561.00,509.84,
301774.00,538.59,
301985.00,542.81,
302196.00,506.09,
302407.00,514.53,
302618.00,543.91,
302829.00,526.56,
303040.00,524.53,
303251.00,543.75,
303462.00,535.94,
303675.00,519.22,
303886.00,533.44,
304097.00,542.66,
304308.00,521.41,
304519.00,509.84,
304730.00,541.72,
304941.00,531.41,
305152.00,505.78,
305362.00,540.47,
305575.00,535.78,
305786.00,495,
305997.00,510.47,
306208.00,537.97,
306419.00,506.88,
306630.00,520.78,
306841.00,538.91,
307052.00,526.41,
307263.00,520.31,
307476.00,536.72,
307687.00,536.09,
307898.00,518.13,
308109.00,519.53,
308320.00,539.22,
308531.00,524.84,
308742.00,515.31,
308953.00,541.72,
309164.00,535.47,
309374.00,507.34,
309587.00,535.31,
309798.00,540.16,
310009.00,504.69,
310220.00,531.41,
310431.00,543.13,
310642.00,512.19,
310853.00,529.84,
311064.00,545.63,
311275.00,535,
311488.00,528.59,
311699.00,533.91,
311910.00,546.09,
312121.00,527.97,
312332.00,512.03,
312543.00,548.13,
312754.00,533.75,
312965.00,511.72,
313176.00,548.28,
313389.00,538.91,
313600.00,512.03,
313810.00,537.66,
314021.00,540.78,
314232.00,512.81,
314443.00,529.06,
314654.00,540.16,
314865.00,514.84,
315076.00,525.31,
315289.00,538.75,
315500.00,532.81,
315711.00,520.63,
315922.00,523.91,
316133.00,536.56,
316344.00,524.06,
316555.00,510.78,
316766.00,539.53,
316977.00,529.38,
317188.00,510.47,
317401.00,539.69,
317612.00,537.34,
317822.00,502.97,
318033.00,528.59,
318244.00,542.81,
318455.00,507.34,
318666.00,528.44,
318877.00,545.31,
319088.00,529.22,
319301.00,530.16,
319512.00,543.91,
319723.00,540.78,
319934.00,529.84,
320145.00,529.22,
320356.00,546.25,
320567.00,530.78,
320778.00,518.91,
320989.00,547.81,
321202.00,550.78,
321413.00,518.28,
321624.00,548.13,
321835.00,546.88,
322045.00,516.72,
322256.00,538.28,
322467.00,550.94,
322678.00,511.88,
322889.00,510.78,
323102.00,525.63,
323313.00,517.66,
323524.00,503.59,
323735.00,511.56,
323946.00,516.88,
324157.00,503.75,
324368.00,501.56,
324579.00,524.22,
324790.00,511.25,
325003.00,499.06,
325214.00,550.94,
325425.00,546.72,
325636.00,517.03,
325847.00,544.38,
326057.00,546.41,
326268.00,502.66,
326479.00,526.72,
326690.00,545.31,
326903.00,516.41,
327114.00,522.97,
327325.00,537.03,
327536.00,530.31,
327747.00,519.69,
327958.00,524.22,
328169.00,535.63,
328380.00,522.03,
328591.00,511.09,
328802.00,541.09,
329015.00,529.22,
329226.00,515.47,
329437.00,545.63,
329648.00,537.81,
329859.00,519.84,
330070.00,542.97,
330280.00,547.19,
330491.00,513.59,
330702.00,532.81,
330915.00,549.53,
331126.00,529.53,
331337.00,525.31,
331548.00,548.91,
331759.00,542.19,
331970.00,534.53,
332181.00,531.88,
332392.00,545.78,
332603.00,533.59,
332816.00,507.81,
333027.00,542.81,
333238.00,521.56,
333449.00,500.94,
333660.00,543.59,
333871.00,538.75,
334082.00,507.03,
334292.00,535.94,
334503.00,541.41,
334714.00,514.38,
334927.00,527.03,
335138.00,542.34,
335349.00,528.44,
335560.00,527.34,
335771.00,544.22,
335982.00,541.41,
336193.00,524.38,
336404.00,529.06,
336615.00,542.5,
336828.00,509.22,
337039.00,508.91,
337250.00,542.19,
337461.00,524.22,
337672.00,506.09,
337883.00,544.38,
338094.00,540.47,
338305.00,509.53,
338515.00,535.63,
338728.00,543.59,
338939.00,528.28,
339150.00,533.59,
339361.00,547.97,
339572.00,540,
339783.00,535.31,
339994.00,550.16,
340205.00,546.41,
340416.00,507.97,
340627.00,540.31,
340840.00,549.22,
341051.00,510.78,
341262.00,519.22,
341473.00,551.56,
341684.00,538.59,
341895.00,532.81,
342106.00,550.31,
342317.00,548.91,
342528.00,531.56,
342740.00,535.94,
342951.00,547.81,
343162.00,532.5,
343373.00,533.75,
343584.00,547.34,
343795.00,536.72,
344006.00,510.16,
344217.00,543.44,
344428.00,539.06,
344641.00,497.34,
344852.00,519.69,
345063.00,542.34,
345274.00,501.72,
345485.00,525.78,
345696.00,540.94,
345907.00,530,
346118.00,525.94,
346329.00,535.94,
346540.00,538.28,
346753.00,521.56,
346963.00,526.56,
347174.00,539.22,
347385.00,523.44,
347596.00,496.72,
347807.00,540.78,
348018.00,538.75,
348229.00,511.25,
348440.00,538.75,
348653.00,542.66,
348864.00,504.06,
349075.00,528.44,
349286.00,546.56,
349497.00,527.97,
349708.00,530.63,
349919.00,551.09,
350130.00,544.53,
350341.00,529.22,
350554.00,542.97,
350765.00,549.22,
350976.00,533.44,
351186.00,517.34,
351397.00,550.31,
351608.00,537.81,
351819.00,524.38,
352030.00,551.56,
352241.00,543.28,
352454.00,510.47,
352665.00,541.72,
352876.00,544.53,
353087.00,527.97,
353298.00,529.84,
353509.00,543.75,
353720.00,531.09,
353931.00,523.91,
354142.00,540.63,
354355.00,536.88,
354566.00,521.56,
354777.00,522.81,
354988.00,537.97,
355198.00,523.59,
355409.00,503.28,
355620.00,539.53,
355831.00,535.31,
356042.00,503.28,
356255.00,537.97,
356466.00,538.59,
356677.00,505.16,
356888.00,529.22,
357099.00,543.59,
357310.00,519.06,
357521.00,533.59,
357732.00,550,
357943.00,541.72,
358154.00,531.41,
358367.00,545.31,
358578.00,549.84,
358789.00,534.06,
359000.00,521.72,
359211.00,552.34,
359421.00,535.16,
359632.00,512.19,
359843.00,550.78,
360054.00,544.69,
360267.00,508.44,
360478.00,542.97,
360689.00,547.97,
360900.00,513.75,
361111.00,535.94,
361322.00,546.88,
361533.00,525,
361744.00,533.28,
361955.00,551.25,
362168.00,547.34,
362379.00,531.09,
362590.00,521.88,
362801.00,546.88,
363012.00,527.66,
363223.00,515.16,
363433.00,547.5,
363644.00,536.56,
363855.00,508.75,
364066.00,546.25,
364279.00,542.19,
364490.00,514.69,
364701.00,537.5,
364912.00,546.56,
365123.00,528.28,
365334.00,529.84,
365545.00,546.25,
365756.00,540,
365967.00,530.31,
366180.00,536.56,
366391.00,547.5,
366602.00,527.81,
366813.00,515.16,
367024.00,550.16,
367235.00,540.94,
367446.00,516.25,
367656.00,549.22,
367867.00,527.97,
368080.00,493.91,
368291.00,520.78,
368502.00,533.91,
368713.00,504.06,
368924.00,524.22,
369135.00,540.78,
369346.00,528.13,
369557.00,525.31,
369768.00,535.63,
369981.00,542.19,
370192.00,538.75,
370403.00,525.16,
370614.00,558.75,
370825.00,545.78,
371036.00,526.25,
371247.00,559.22,
371458.00,550,
371668.00,516.56,
371881.00,542.03,
372092.00,548.13,
372303.00,513.75,
372514.00,531.88,
372725.00,547.81,
372936.00,534.69,
373147.00,529.38,
373358.00,537.66,
373569.00,540.16,
373782.00,521.09,
373993.00,510.78,
374204.00,541.56,
374415.00,531.88,
374626.00,498.44,
374837.00,544.53,
375048.00,535,
375259.00,507.81,
375470.00,537.34,
375683.00,540.47,
375894.00,508.91,
376104.00,527.97,
376315.00,542.03,
376526.00,527.5,
376737.00,527.03,
376948.00,543.28,
377159.00,541.56,
377370.00,516.72,
377583.00,525.63,
377794.00,546.88,
378005.00,527.03,
378216.00,505.16,
378427.00,551.25,
378638.00,540.78,
378849.00,496.25,
379060.00,544.06,
379271.00,545.47,
379482.00,491.09,
379695.00,526.25,
379906.00,549.38,
380116.00,516.41,
380327.00,524.69,
380538.00,549.22,
380749.00,538.75,
380960.00,510.16,
381171.00,529.84,
381382.00,541.41,
381595.00,521.72,
381806.00,495.16,
382017.00,547.03,
382228.00,536.56,
382439.00,498.75,
382650.00,542.5,
382861.00,542.34,
383072.00,495.31,
383283.00,526.88,
383496.00,542.97,
383707.00,509.06,
383918.00,515.63,
384129.00,547.97,
384339.00,533.44,
384550.00,509.84,
384761.00,529.22,
,,